serie;total;sexo;;tramos por edad;;;;;nivel socioecon¢mico;;
;;hombre;mujer;12 a 18;19-25;26-34;35-44;45-64;bajo;medio;alto
1994;4;6,1;1,9;5,6;8,7;4,7;1,6;0,2;3,6;3,2;5,2
1996;4;5,9;2,2;6,7;10,6;3,5;1,1;0,2;;;
1998;4,8;7,2;2,4;7,6;12,1;4,8;1,7;0,3;5,4;5;4,2
2000;5,7;8,5;3,1;8,1;14,7;6,7;2,4;0,4;5,7;4,9;6,6
2002;5;7,9;2,3;6,2;13;6,7;2;0,5;5,5;4,3;5
2004;5,4;7,6;3,2;6,2;14,7;6,5;2,4;0,7;5;4,5;7
2006;7,2;9,7;4,7;7,4;18,5;9,8;3,8;1,3;5,8;6;10,3
2008;6,4;8,8;4,2;9,1;17,9;6,7;2,8;0,9;7,4;5,6;6,4
2010;4,6;7,1;2,1;5,3;12,3;6,7;2,6;0,5;6,1;3,3;5,1
2012;7,1;9,8;4,4;6,7;17,5;10,3;4,4;1,9;7,4;6,9;7,1
2014;11,3;14,6;8,1;13,5;24;17,1;9;4,2;10,6;10,4;12,5
